date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2014-01-01,729284861.3,9568,595241000,24.62,8092540,28600,40.1955791
2014-01-02,221499782.3,8965,604650000,25.76,24848700,28750,31.86702014
2014-01-03,279890653.1,11001,628948000,24.82,21122000,28250,39.78489296
2014-01-04,358630429.9,12433,608748000,25.11,12141900,29200,43.16135879
2014-01-05,358821414.1,10428,615008000,26.83,29995000,31500,34.83084915
2014-01-06,267151441.6,11267,661917000,29.22,55258000,30750,36.03314699
2014-01-07,925255045.1,16040,720229000,23.25,44133600,32550,55.94412157
2014-01-08,1357970173,12747,563356000,24.39,45716500,31300,38.99577818
2014-01-09,751876521.6,12007,604687000,24.43,20669400,33850,41.03148536
2014-01-10,161000351.5,10451,604555000,24.93,9761000,30250,26.93332792
2014-01-11,186931877,9332,618545000,26.79,24313000,30250,25.06982475
2014-01-12,131344849.2,11196,670489000,25.09,20433500,29250,27.48024682
2014-01-13,101115390.4,9166,623662000,24.27,16726300,29300,23.67267509
2014-01-14,139996799.3,9962,603213000,24.1,7753650,28650,29.95363214
2014-01-15,145599101.1,9436,599368000,25.22,12136300,27000,25.54951812
2014-01-16,197340201.3,10537,629109000,24.46,7030480,30500,21.37033956
2014-01-17,131242572.7,9646,608196000,23.71,10610700,28200,28.71064687
2014-01-18,126028423.3,8773,594282000,24.55,5190400,28550,20.3576752
2014-01-19,162214560.7,9491,613694000,25.44,6974650,32350,17.98684696
2014-01-20,131627965.7,9873,636076000,25.2,6186070,29050,18.62653793
2014-01-21,177633776.5,11218,631140000,24.73,4743190,26350,27.69050485
2014-01-22,190723547.2,12210,622754000,23.65,10957200,22950,34.153688
2014-01-23,173409355.4,11828,593147000,22.38,9875320,18900,29.66118869
2014-01-24,151318796.9,10666,559690000,20.72,24376400,18450,30.01216584
2014-01-25,365594632.3,14183,520190000,23.08,11953200,25100,33.87561716
2014-01-26,156026323.8,11454,583587000,24.12,12199200,23600,23.87398441
2014-01-27,190895967.9,12580,607439000,20.02,16380200,21400,25.08556517
