close,high,low,open,vol,utc
16578.52,16666.78,16401.63,16408.58,3913,12/14/17 6:00
16582.98,16623.71,16484.74,16578.52,2779.69,12/14/17 7:00
16690.41,16777.05,16513.95,16585.1,3731.11,12/14/17 8:00
16580.7,16714.08,16550.83,16689.98,4406.61,12/14/17 9:00
16495.27,16598.43,16457.23,16580.67,1734.68,12/14/17 10:00
16412.28,16495.27,16245.15,16495.27,2089.21,12/14/17 11:00
16388.74,16472.73,16343.95,16409.66,4710.43,12/14/17 12:00
16512.6,16598.5,16378.25,16388.74,5639.7,12/14/17 13:00
16480.28,16634.5,16463.86,16511.61,5585.11,12/14/17 14:00
16490.12,16542.39,16432.39,16480.88,4889.34,12/14/17 15:00
16363.01,16535.68,16362.21,16490.12,3526.8,12/14/17 16:00
16433.61,16458.81,16288.2,16363.41,5128.65,12/14/17 17:00
16432.14,16530.59,16402.81,16433.61,3154.75,12/14/17 18:00
16467.91,16493.21,16386.54,16432.14,3347.86,12/14/17 19:00
16960.23,16991.99,16442.2,16467.91,10201.81,12/14/17 20:00
17062.39,17185.66,16771.09,16959.91,10373.34,12/14/17 21:00
17378.8,17661.65,16979.28,17064.47,16881.97,12/14/17 22:00
17217.53,17499.67,17119.04,17380.28,10525.53,12/14/17 23:00
17311.58,17373.82,17033.69,17217.53,6026.79,12/15/17 0:00
17282.04,17418.67,17243.63,17311.58,4908.38,12/15/17 1:00
17187.35,17351.55,17171.91,17282.04,3793.41,12/15/17 2:00
17122.16,17243.37,17118.05,17187.13,4044.37,12/15/17 3:00
17307.41,17326.76,17069.89,17122.16,5010.13,12/15/17 4:00
17620.13,17641.26,17302.62,17306.28,6955.34,12/15/17 5:00
17832.53,17956.85,17612.3,17620.13,11074.85,12/15/17 6:00
17937.14,17966.6,17726.61,17832.51,4705.53,12/15/17 7:00
17876.27,17987.03,17824.06,17937.14,5060.99,12/15/17 8:00
17835.7,17907.32,17592.91,17874.02,7800.07,12/15/17 9:00
17679.14,17906.27,17675.55,17835.93,4926.1,12/15/17 10:00
17601.88,17726.53,17533.58,17678.67,6054.99,12/15/17 11:00
17643.46,17733.32,17577.85,17601.88,5181.94,12/15/17 12:00
17602.48,17680.41,17561.77,17643.38,4106.31,12/15/17 13:00
17790.21,17790.91,17557.12,17602.49,4759.09,12/15/17 14:00
17707.71,17841.97,17661.72,17790.7,3759.78,12/15/17 15:00
17732.24,17826.16,17672.48,17703.75,3359.82,12/15/17 16:00
17594.08,17753.28,17425.6,17736.74,6715.72,12/15/17 17:00
17581.07,17605.29,17314.28,17594.08,4282.43,12/15/17 18:00
17604.85,17679.28,17499.46,17581.07,3144.66,12/15/17 19:00
17621.54,17675.51,17520.74,17594.08,2808.38,12/15/17 20:00
17525.4,17624.44,17493.81,17621.04,2514.71,12/15/17 21:00
17449.35,17579.63,17422.4,17530.23,2223.04,12/15/17 22:00
17385.65,17526.58,17318.54,17448.64,3524.16,12/15/17 23:00
17542.34,17590.59,17380,17380,2001.67,12/16/17 0:00
17589.95,17617.87,17534.51,17541.21,1670.15,12/16/17 1:00
17777.89,17781.99,17589.94,17589.95,3306.68,12/16/17 2:00
17910.28,17963.25,17775.2,17777.89,5091,12/16/17 3:00
17910.87,17944.12,17732.52,17910.05,2885.45,12/16/17 4:00
17954.62,17957.03,17869.8,17911.44,1996.51,12/16/17 5:00
17906.18,18018.76,17884.98,17953.62,2936.93,12/16/17 6:00
18070.95,18112.41,17897.21,17904.18,3440.91,12/16/17 7:00
18110.28,18129.18,18026.21,18061.36,3299.52,12/16/17 8:00
18400.33,18450.23,18105.71,18110.28,8896.68,12/16/17 9:00
18641.39,18641.89,18326.4,18398.92,6021.94,12/16/17 10:00
18859.44,18876.93,18515.21,18631.89,9801.83,12/16/17 11:00
18802.01,18909.21,18551.58,18855.73,8642.42,12/16/17 12:00
18789.51,18855.07,18684.43,18802.09,3677.06,12/16/17 13:00
18779.89,18799.2,18679.1,18798.39,2756.42,12/16/17 14:00
19264.51,19267.38,18780.56,18781.26,9166.42,12/16/17 15:00
19232.91,19374.54,19130.89,19263.87,8060.98,12/16/17 16:00
19297.17,19322.9,19031.91,19232.7,4665.21,12/16/17 17:00
19423.8,19496.31,19197.18,19293.46,6440.11,12/16/17 18:00
19345.49,19587.7,19323.16,19423.8,6347.51,12/16/17 19:00
19205.76,19361.77,19108.27,19346.6,6650.52,12/16/17 20:00
19070.74,19279.66,18928.9,19205.74,6186.91,12/16/17 21:00
19210.8,19269.26,18967.28,19070.75,3755.3,12/16/17 22:00
19162.5,19371.21,19142.58,19210.8,3560.96,12/16/17 23:00
19109.64,19208.8,19042.18,19162.5,3349.55,12/17/17 0:00
19344.05,19389.29,19097.2,19109.58,3684.54,12/17/17 1:00
19410.12,19411.74,19299.35,19346.04,2189.4,12/17/17 2:00
19612.56,19628.1,19408.14,19410.12,4891.13,12/17/17 3:00
19426.27,19620.75,19420.35,19612.56,3037.16,12/17/17 4:00
19633.63,19640.44,19378.56,19426.27,3756.17,12/17/17 5:00
19693.01,19711.75,19612.72,19633.63,4318.45,12/17/17 6:00
