close,volbtc,bb_up,bb_mid,bb_low,rsi,close_lag1,bb_low_lag1,bb_up_lag1,close_lag2,bb_low_lag2,bb_up_lag2,rsi_lag1,rsi_lag2,bb_sig
795.77,930.966574,839.4813887,805.8642857,772.2471827,31.06469993,791.04,769.9455148,862.9630567,809.51,767.7401503,900.9341354,28.38096033,32.63319546,0
786.48,2157.727599,820.4970619,797.23,773.9629381,28.6082676,795.77,772.2471827,839.4813887,791.04,769.9455148,862.9630567,31.06469993,28.38096033,0
789.5,1231.34293,810.3040366,792.5814286,774.8588206,30.68696176,786.48,773.9629381,820.4970619,795.77,772.2471827,839.4813887,28.6082676,31.06469993,0
777.41,800.1829971,806.0537969,788.6371429,771.2204888,27.0133946,789.5,774.8588206,810.3040366,786.48,773.9629381,820.4970619,30.68696176,28.6082676,0
757.95,1794.351967,809.0721081,786.8085714,764.5450348,22.05534122,777.41,771.2204888,806.0537969,789.5,774.8588206,810.3040366,27.0133946,30.68696176,0
764.15,538.9688372,800.3426117,780.3285714,760.3145312,27.03331167,757.95,764.5450348,809.0721081,777.41,771.2204888,806.0537969,22.05534122,27.0133946,0
769.97,650.6615257,796.7553113,777.3185714,757.8818316,31.80319819,764.15,760.3145312,800.3426117,757.95,764.5450348,809.0721081,27.03331167,22.05534122,0
784,817.1248531,792.2607005,775.6371429,759.0135853,42.39407759,769.97,757.8818316,796.7553113,764.15,760.3145312,800.3426117,31.80319819,27.03331167,0
801.25,1002.440396,798.7089879,777.7471429,756.7852979,52.888789,784,759.0135853,792.2607005,769.97,757.8818316,796.7553113,42.39407759,31.80319819,0
808.51,1632.65804,806.5893028,780.4628571,754.3364115,56.75702727,801.25,756.7852979,798.7089879,784,759.0135853,792.2607005,52.888789,42.39407759,0
819.83,923.6561984,819.6152784,786.5228571,753.4304359,62.37660326,808.51,754.3364115,806.5893028,801.25,756.7852979,798.7089879,56.75702727,52.888789,0
834.7,1131.995723,833.6569377,797.4871429,761.317348,68.62517367,819.83,753.4304359,819.6152784,808.51,754.3364115,806.5893028,62.37660326,56.75702727,0
812.25,1396.368825,834.6049785,804.3585714,774.1121643,53.09355726,834.7,761.317348,833.6569377,819.83,753.4304359,819.6152784,68.62517367,62.37660326,0
815.35,661.3157399,832.7275579,810.8414286,788.9552993,54.7436372,812.25,774.1121643,834.6049785,834.7,761.317348,833.6569377,53.09355726,68.62517367,0
800.89,1177.138713,829.568624,813.2542857,796.9399474,45.94757196,815.35,788.9552993,832.7275579,812.25,774.1121643,834.6049785,54.7436372,53.09355726,0
792.52,1422.107679,830.8359727,812.0071429,793.1783131,41.44995177,800.89,796.9399474,829.568624,815.35,788.9552993,832.7275579,45.94757196,54.7436372,0
785.04,739.9531531,832.2985559,808.6542857,785.0100155,37.6114382,792.52,793.1783131,830.8359727,800.89,796.9399474,829.568624,41.44995177,45.94757196,0
803.94,459.2486415,829.0659025,806.3842857,783.7026689,50.99051595,785.04,785.0100155,832.2985559,792.52,793.1783131,830.8359727,37.6114382,41.44995177,0
806.29,1328.310543,817.1473774,802.3257143,787.5040512,52.46911344,803.94,783.7026689,829.0659025,785.04,785.0100155,832.2985559,50.99051595,37.6114382,0
806.2,1311.171511,815.2877686,801.4614286,787.6350886,52.39848007,806.29,787.5040512,817.1473774,803.94,783.7026689,829.0659025,52.46911344,50.99051595,0
822.78,1638.759059,819.0369408,802.5228571,786.0087735,63.08045171,806.2,787.6350886,815.2877686,806.29,787.5040512,817.1473774,52.39848007,52.46911344,0
829.65,1264.952363,828.32038,806.6314286,784.9424772,66.69353627,822.78,786.0087735,819.0369408,806.2,787.6350886,815.2877686,63.08045171,52.39848007,0
822.1,911.0863028,831.9079539,810.8571429,789.8063318,59.25809973,829.65,784.9424772,828.32038,822.78,786.0087735,819.0369408,66.69353627,63.08045171,0
829.3,680.635508,832.9367516,817.18,801.4232484,63.75398598,822.1,789.8063318,831.9079539,829.65,784.9424772,828.32038,59.25809973,66.69353627,0
831.42,891.3894899,836.0198956,821.1057143,806.1915329,65.07779649,829.3,801.4232484,832.9367516,822.1,789.8063318,831.9079539,63.75398598,59.25809973,0
845.53,933.7174272,843.2317273,826.7114286,810.1911298,72.79350912,831.42,806.1915329,836.0198956,829.3,801.4232484,832.9367516,65.07779649,63.75398598,0
832.01,670.342051,841.1746802,830.3985714,819.6224626,58.37560143,845.53,810.1911298,843.2317273,831.42,806.1915329,836.0198956,72.79350912,65.07779649,0
835.73,494.3571284,842.1936035,832.2485714,822.3035393,60.86388749,832.01,819.6224626,841.1746802,845.53,810.1911298,843.2317273,58.37560143,72.79350912,0
829.92,783.8775078,842.2104845,832.2871429,822.3638012,54.88542698,835.73,822.3035393,842.1936035,832.01,819.6224626,841.1746802,60.86388749,58.37560143,0
