volbtc,rsi_lag1,rsi_lag2,signal
1624.684474,46.49978446,49.43902672,0
3651.910609,51.24169054,46.49978446,0
1566.288546,43.90312871,51.24169054,0
1159.127475,49.89232593,43.90312871,0
1003.271558,47.28823836,49.89232593,0
856.4915827,47.07982901,47.28823836,0
768.0925731,46.61164548,47.07982901,0
871.036494,44.6213987,46.61164548,0
684.4251217,47.77079815,44.6213987,0
1616.360551,48.05882854,47.77079815,0
968.7318916,52.36520475,48.05882854,0
861.807135,47.77567047,52.36520475,0
1101.205432,46.62327099,47.77567047,0
1239.629338,46.80227251,46.62327099,0
1615.045324,47.30469069,46.80227251,0
2520.873283,47.36147322,47.30469069,0
1691.651607,46.85656405,47.36147322,0
2489.029412,46.63416785,46.85656405,0
1848.345993,51.27404224,46.63416785,0
2138.095729,56.29385276,51.27404224,0
1329.023246,62.09428911,56.29385276,0
2163.050696,58.92734696,62.09428911,0
3908.348927,57.34271892,58.92734696,0
4792.513952,59.05860257,57.34271892,0
4071.464041,59.30825951,59.05860257,0
3189.845596,55.3640278,59.30825951,0
4802.714932,52.10157606,55.3640278,0
1228.511799,46.82328391,52.10157606,0
481.990487,47.01044486,46.82328391,0
311.3589316,47.365119,47.01044486,0
948.8929522,52.52978545,47.365119,0
883.156167,54.60544552,52.52978545,0
834.8937819,53.65050928,54.60544552,0
883.5649289,53.24432853,53.65050928,0
572.0099487,56.84022457,53.24432853,0
493.8244646,57.20872997,56.84022457,0
816.6736658,57.66667444,57.20872997,0
954.0599936,55.01930874,57.66667444,0
1071.739856,56.72328361,55.01930874,0
647.4417172,59.41244429,56.72328361,0
551.3126777,61.55627903,59.41244429,0
309.7876333,57.69121968,61.55627903,0
562.6242515,58.31610282,57.69121968,0
485.8108079,50.96819091,58.31610282,0
400.5372367,54.49073643,50.96819091,0
697.6806204,55.23192526,54.49073643,0
414.4157443,58.49388367,55.23192526,0
202.2925727,60.14481389,58.49388367,0
571.6098592,59.44099459,60.14481389,0
1470.113937,61.5096521,59.44099459,0
655.8417876,70.88444981,61.5096521,0
737.5122969,71.33556699,70.88444981,0
654.0020209,75.00705886,71.33556699,0
410.7405736,69.00748768,75.00705886,0
767.0009998,65.91762897,69.00748768,0
1217.676868,67.03247891,65.91762897,0
809.0350798,49.33248191,67.03247891,0
574.8863383,55.43797443,49.33248191,0
342.0107533,56.28358713,55.43797443,0
318.6338914,55.86450598,56.28358713,0
785.300343,52.29306026,55.86450598,0
1132.836194,51.19428709,52.29306026,0
