close,volbtc,bb_high,bb_mid,bb_low,rsi,close_lag1,bb_low_lag1,bb_mid_lag1,bb_high_lag1,close_lag2,bb_low_lag2,bb_mid_lag2,bb_high_lag2,rsi_lag1,rsi_lag2,signal
757.4,611.3557015,758.1917686,750.4814286,742.7710885,65.03388382,748.46,741.074533,748.4314286,755.7883241,743.41,738.2136737,748.4314286,766.0663263,62.24407105,60.59496512,0
757,1137.945254,759.5530257,752.4485714,745.3441171,64.80315957,757.4,742.7710885,750.4814286,758.1917686,748.46,741.074533,750.4814286,755.7883241,65.03388382,62.24407105,0
774.53,2779.167898,768.0469846,756.1157143,744.184444,69.85127326,757,745.3441171,752.4485714,759.5530257,757.4,742.7710885,752.4485714,758.1917686,64.80315957,65.03388382,0
758.99,2452.856317,767.8874232,756.0071429,744.1268625,61.43882969,774.53,744.184444,756.1157143,768.0469846,757,745.3441171,756.1157143,759.5530257,69.85127326,64.80315957,0
749.54,1017.823406,767.7673766,755.6185714,743.4697663,56.94737498,758.99,744.1268625,756.0071429,767.8874232,774.53,744.184444,756.0071429,768.0469846,61.43882969,69.85127326,0
755.84,923.7958064,767.7040734,757.3942857,747.084498,59.09432098,749.54,743.4697663,755.6185714,767.7673766,758.99,744.1268625,755.6185714,767.8874232,56.94737498,61.43882969,0
756.32,719.8350235,767.7458159,758.5171429,749.2884699,59.26101387,755.84,747.084498,757.3942857,767.7040734,749.54,743.4697663,757.3942857,767.7673766,59.09432098,56.94737498,0
768.24,779.9268427,770.2459674,760.0657143,749.8854612,63.2645066,756.32,749.2884699,758.5171429,767.7458159,755.84,747.084498,758.5171429,767.7040734,59.26101387,59.09432098,0
761.47,1185.984121,770.7618911,760.7042857,750.6466803,59.67746595,768.24,749.8854612,760.0657143,770.2459674,756.32,749.2884699,760.0657143,767.7458159,63.2645066,59.26101387,0
768.76,831.5354113,768.2181888,759.88,751.5418112,62.16513125,761.47,750.6466803,760.7042857,770.7618911,768.24,749.8854612,760.7042857,770.2459674,59.67746595,63.2645066,0
762.96,896.456739,768.8780891,760.4471429,752.0161966,59.04404765,768.76,751.5418112,759.88,768.2181888,761.47,750.6466803,759.88,770.7618911,62.16513125,59.67746595,0
763.9,760.4637316,768.673145,762.4985714,756.3239979,59.39981907,762.96,752.0161966,760.4471429,768.8780891,768.76,751.5418112,760.4471429,768.2181888,59.04404765,62.16513125,0
749.82,1161.999646,769.6995911,761.6385714,753.5775518,52.09942293,763.9,756.3239979,762.4985714,768.673145,762.96,752.0161966,762.4985714,768.8780891,59.39981907,59.04404765,0
741.13,2786.563054,771.7867644,759.4685714,747.1503785,48.16488583,749.82,753.5775518,761.6385714,769.6995911,763.9,756.3239979,761.6385714,768.673145,52.09942293,59.39981907,0
735.01,1771.750946,770.1974068,754.7214286,739.2454503,45.55561605,741.13,747.1503785,759.4685714,771.7867644,749.82,753.5775518,759.4685714,769.6995911,48.16488583,52.09942293,0
703.12,2451.573817,773.8436082,746.3857143,718.9278204,34.93523875,735.01,739.2454503,754.7214286,770.1974068,741.13,747.1503785,754.7214286,771.7867644,45.55561605,48.16488583,0
